asozial	ADJ	['0.129400','0.395748','-0.044615','-0.044386','-0.171690','0.118603', '-0.377855','0.059814','0.159931','-0.684276','0.515242','0.478633', '0.308043','-0.340120','0.046226','-0.685675','-0.382841','0.041216', '0.388578','0.183400','-0.485197','-0.207629','-0.754326','0.926395', '0.683075','0.188000','0.022089','0.082280','0.471172','0.315230', '0.248443','-0.547167','-0.667851','-0.246059','-0.007229','-0.255205', '0.211857','0.391744','0.260736','0.142632','-0.514931','-0.079435', '-0.321073','0.235289','-0.470537','-0.120889','-0.613414','-0.020259', '0.146507','-0.666523','-0.019231','0.275824']	1
leichtsinnig	ADJ	['0.213774','0.238361','-0.085723','-0.090368','0.057583','0.225240', '-0.194457','0.521279','0.226713','-0.526118','0.394044','0.428796', '0.295647','-0.124874','0.193081','-0.306827','-0.549977','0.054075', '0.353414','0.231509','-0.410397','-0.256809','-0.464832','0.825869', '0.488435','0.376219','0.164644','0.238438','0.290709','0.494227', '0.326372','-0.696173','-0.436885','-0.030763','-0.119616','-0.425649', '0.016467','0.482285','0.202946','0.212500','-0.362565','0.267331', '0.148693','0.192572','-0.518312','-0.233050','-0.337601','0.081611', '0.245605','-0.516898','-0.083600','0.274354']	0
affe	NOUN	['0.118580','-0.014012','0.295875','-0.246420','-0.002515','0.476426', '-0.241408','0.375536','0.370413','-0.378657','0.269866','0.164404', '0.339143','-0.102729','0.327876','-0.980692','0.016205','-0.158161', '0.615496','-0.355354','-0.533847','-0.164710','0.014075','0.671115', '0.292284','-0.070515','-0.194685','0.255326','0.338092','0.078335', '0.209729','-0.712369','-0.100238','-0.112126','0.030168','-0.098795', '0.502753','0.343966','0.134334','0.414882','-0.076626','-0.206135', '-0.452979','0.141132','0.067628','0.047334','-0.342017','0.180967', '0.516636','-0.103870','-0.224411','0.288224']	0
ekelerregend	ADJ	['-0.194978','0.233269','0.109117','-0.194264','-0.341973','0.276056', '-0.179457','0.057969','0.001666','-0.675335','0.552061','0.725748', '0.739398','-0.147810','0.389029','-0.394024','-0.315760','-0.005662', '0.258639','0.317085','-0.596200','-0.169990','-0.677212','0.707847', '0.422842','0.154281','0.286448','0.169311','0.452758','0.233245', '0.364522','-0.860965','-0.590340','-0.220906','0.240960','-0.240435', '0.295869','0.577142','0.353418','0.033187','-0.536108','0.014968', '-0.317179','0.140157','-0.534535','-0.201313','-0.392362','0.558881', '0.394785','-0.584460','-0.146337','0.363479']	1
traumatisieren	VERB	['0.130756','0.275582','0.179617','-0.229001','0.013696','0.194378', '-0.421619','0.412539','0.167361','-0.605201','0.105481','0.445518', '0.338870','-0.028274','0.555608','-0.272336','-0.727638','-0.252472', '0.509465','0.123321','-0.616441','0.093056','-0.103197','0.637473', '0.370643','0.425088','-0.124375','0.470395','0.142926','0.458867', '0.396527','-0.676079','-0.585675','-0.340788','-0.169954','-0.379580', '-0.018796','0.254230','0.343626','0.200832','-0.328892','0.264230', '-0.204010','0.188108','-0.491639','0.181960','-0.167890','0.174618', '0.108902','-0.632754','-0.320924','0.232682']	0
missachten	VERB	['-0.305315','-0.010208','0.131463','0.257036','-0.263127','0.137148', '-0.181635','0.491652','0.106093','-0.560045','0.251168','0.975572', '0.080093','-0.424259','0.745288','0.009484','-0.388411','0.211831', '0.330814','-0.065047','-0.585525','-0.386507','-0.746126','0.585940', '0.788044','0.629106','0.466955','-0.041532','0.425891','0.518076', '0.439630','-0.783582','-0.062622','-0.157567','0.080322','-0.435126', '0.386461','0.473512','0.072529','0.265232','-0.389627','0.000708', '-0.018318','0.262461','-0.388591','-0.118255','-0.529693','0.286040', '-0.018471','-0.643748','0.066240','0.504744']	0
betrunken	ADJ	['0.110505','0.439871','-0.192137','-0.139952','-0.165664','0.063411', '-0.199078','0.170772','0.335464','-0.501934','0.484704','0.164164', '0.447457','-0.008977','-0.021677','-0.685873','-0.523975','-0.560458', '0.478473','0.347842','-0.575478','-0.214833','-0.497747','1.058278', '0.718523','0.212232','-0.346841','0.302032','0.107241','0.483083', '0.472386','-0.634535','-0.364946','-0.260614','-0.046593','-0.424838', '-0.255358','0.281115','-0.010474','0.363082','-0.343500','0.084036', '-0.230438','0.115820','-0.317636','-0.254631','-0.307981','0.130957', '0.374845','-0.530816','-0.176188','0.314069']	0
scham	NOUN	['0.009576','0.116625','-0.129861','-0.070417','0.036078','0.392549', '-0.232504','0.230677','0.250437','-0.657054','0.369772','0.470818', '0.483162','-0.006882','0.504734','-0.340670','-0.395620','-0.080069', '0.332979','0.125972','-0.517141','-0.292412','-0.606719','0.840690', '0.289736','0.444059','0.309953','0.241461','0.397455','0.305648', '0.418488','-0.716242','-0.455692','-0.355832','0.023968','-0.565572', '0.260921','0.511321','0.096006','0.392317','-0.330406','0.093830', '-0.240065','0.167963','-0.436711','-0.178523','-0.330262','0.443928', '0.136852','-0.589956','-0.176365','0.422411']	0
umtauschen	VERB	['0.410622','0.400636','0.070723','-0.005535','0.251367','0.162968', '-0.467875','0.238635','-0.076329','-0.401353','0.605896','0.252335', '0.049568','-0.089426','0.445866','-0.554505','-0.759136','-0.354485', '0.341996','0.259077','-0.210404','-0.167567','-0.538194','1.044606', '0.837063','0.113377','-0.180881','0.153178','0.386705','0.710223', '0.324012','-0.527844','-0.414907','-0.097905','-0.326825','-0.404435', '-0.270343','0.338909','-0.516427','0.186279','-0.210026','0.422880', '-0.128854','0.153047','-0.619218','0.133728','-0.326005','-0.225938', '0.434959','-0.200477','-0.003478','0.489240']	0
geiz	NOUN	['0.042839','0.416301','-0.167333','-0.053806','-0.033741','0.592914', '-0.488433','0.250700','0.191558','-0.491026','0.346005','0.429092', '0.189712','-0.240113','0.382970','-0.297719','-0.114415','-0.050048', '0.126133','0.226674','-0.251798','-0.188367','-0.506155','0.940472', '0.475637','0.176717','0.215815','0.136574','0.275206','0.327515', '0.154387','-0.351128','-0.469055','0.223301','0.082108','-0.258025', '0.228884','0.369524','0.054059','0.233006','-0.142746','-0.152832', '-0.306050','-0.231941','-0.649324','-0.190474','-0.431514','-0.006765', '0.172535','-0.272686','-0.124963','0.551299']	0
widersprechen	VERB	['0.095942','0.261997','-0.081576','0.064493','-0.038999','0.222589', '-0.316642','0.297005','0.028634','-0.685243','0.378495','0.631246', '0.356671','-0.299352','0.576602','-0.143791','-0.597813','0.212013', '0.326693','0.234718','-0.489626','-0.211905','-0.663847','0.634183', '0.612599','0.270467','0.364840','0.010571','0.376245','0.353690', '0.314649','-0.846561','-0.314980','-0.203765','-0.328142','-0.367403', '0.110261','0.571472','0.301128','0.102181','-0.442147','-0.031416', '0.020578','0.188019','-0.535991','-0.003609','-0.601682','0.217194', '0.171896','-0.763861','-0.250655','0.242920']	0
defekt	NOUN	['-0.213118','0.043969','-0.010647','0.073072','0.113624','0.094120', '0.076912','0.261369','0.078574','-0.186919','0.240381','-0.042739', '-0.779168','-0.264563','0.047212','-0.827684','-0.573408','-0.377038', '0.469113','0.030583','-0.397973','-0.114615','-0.951925','0.933307', '0.754562','0.365110','0.227903','0.299299','0.425308','0.338169', '0.206798','-0.785427','0.140939','0.002587','-0.065035','-0.227347', '-0.402960','0.742591','-0.614464','0.412566','0.043605','0.647135', '0.056058','-0.047069','-0.514912','-0.258851','-0.502049','0.286602', '0.598847','0.018885','0.299413','0.494295']	0
verwunden	ADJ	['0.040212','0.215999','-0.048955','-0.248919','0.285291','0.159946', '-0.238282','0.409170','-0.025668','-1.053566','-0.137861','0.067877', '0.453979','0.179572','0.865860','-0.210884','-0.329815','-0.120796', '0.571088','0.193903','-0.843984','-0.249927','-0.271732','1.022572', '0.294195','0.521570','0.364995','0.277688','0.435720','0.356936', '0.478213','-1.008662','-0.586360','-0.431487','0.254045','-0.500694', '0.629651','0.288908','0.631719','0.534334','-0.489568','0.236799', '-0.035704','-0.189556','-0.468449','0.086904','-0.325949','0.451682', '0.268598','-0.455249','-0.325287','0.103049']	0
unterliegen	VERB	['-0.504350','-0.001554','-0.148746','-0.061222','0.067421','-0.183678', '-0.145827','0.565601','0.342373','-0.480277','0.298101','0.077276', '0.072311','-0.175287','0.335998','-0.018616','-0.226069','0.517786', '-0.051555','-0.049226','-0.633388','-0.100979','-0.802196','0.727028', '0.686026','0.646208','-0.006410','-0.118797','0.523128','0.538576', '0.136610','-0.806974','0.143226','0.327978','-0.238340','-0.418805', '0.274208','-0.071242','0.548878','0.174991','-0.323223','0.694228', '-0.055638','-0.546149','-0.964403','-0.008302','-0.659712','0.346068', '0.382205','-0.076083','0.096343','0.378202']	0
